Entity,cca3,Year,population
Suriname,SUR,1990,405169.0
Suriname,SUR,1991,413009.0
Suriname,SUR,1992,420658.0
Suriname,SUR,1993,428028.0
Suriname,SUR,1994,435099.0
Suriname,SUR,1995,441851.0
Suriname,SUR,1996,448207.0
Suriname,SUR,1997,454165.0
Suriname,SUR,1998,459838.0
Suriname,SUR,1999,465380.0
Suriname,SUR,2000,470944.0
Suriname,SUR,2001,476574.0
Suriname,SUR,2002,482228.0
Suriname,SUR,2003,487938.0
Suriname,SUR,2004,493680.0
Suriname,SUR,2005,499461.0
Suriname,SUR,2006,505292.0
Suriname,SUR,2007,511181.0
Suriname,SUR,2008,517121.0
Suriname,SUR,2009,523113.0
Suriname,SUR,2010,529126.0
Suriname,SUR,2011,535177.0
Suriname,SUR,2012,541247.0
Suriname,SUR,2013,547295.0
Suriname,SUR,2014,553278.0
Suriname,SUR,2015,559136.0
Suriname,SUR,2016,564883.0
Suriname,SUR,2017,570501.0
Suriname,SUR,2018,575987.0
Suriname,SUR,2019,581363.0
Suriname,SUR,2020,586634.0
Suriname,SUR,2021,591798.0
Suriname,SUR,2022,596838.0
