Entity,cca3,Year,population
Slovakia,SVK,1990,5288455.0
Slovakia,SVK,1991,5309229.0
Slovakia,SVK,1992,5329029.0
Slovakia,SVK,1993,5347212.0
Slovakia,SVK,1994,5362894.0
Slovakia,SVK,1995,5375470.0
Slovakia,SVK,1996,5384792.0
Slovakia,SVK,1997,5391202.0
Slovakia,SVK,1998,5395253.0
Slovakia,SVK,1999,5397709.0
Slovakia,SVK,2000,5399207.0
Slovakia,SVK,2001,5399995.0
Slovakia,SVK,2002,5400124.0
Slovakia,SVK,2003,5399844.0
Slovakia,SVK,2004,5399374.0
Slovakia,SVK,2005,5398962.0
Slovakia,SVK,2006,5398674.0
Slovakia,SVK,2007,5398693.0
Slovakia,SVK,2008,5399362.0
Slovakia,SVK,2009,5401149.0
Slovakia,SVK,2010,5404293.0
Slovakia,SVK,2011,5408932.0
Slovakia,SVK,2012,5414894.0
Slovakia,SVK,2013,5421721.0
Slovakia,SVK,2014,5428798.0
Slovakia,SVK,2015,5435614.0
Slovakia,SVK,2016,5442001.0
Slovakia,SVK,2017,5447903.0
Slovakia,SVK,2018,5453017.0
Slovakia,SVK,2019,5457012.0
Slovakia,SVK,2020,5459643.0
Slovakia,SVK,2021,5460726.0
Slovakia,SVK,2022,5460193.0
