Entity,cca3,Year,population
Slovenia,SVN,1990,2006404.0
Slovenia,SVN,1991,2007780.0
Slovenia,SVN,1992,2005352.0
Slovenia,SVN,1993,2000560.0
Slovenia,SVN,1994,1995326.0
Slovenia,SVN,1995,1991126.0
Slovenia,SVN,1996,1988580.0
Slovenia,SVN,1997,1987457.0
Slovenia,SVN,1998,1987384.0
Slovenia,SVN,1999,1987625.0
Slovenia,SVN,2000,1987710.0
Slovenia,SVN,2001,1987457.0
Slovenia,SVN,2002,1987265.0
Slovenia,SVN,2003,1987855.0
Slovenia,SVN,2004,1990226.0
Slovenia,SVN,2005,1994979.0
Slovenia,SVN,2006,2002427.0
Slovenia,SVN,2007,2012128.0
Slovenia,SVN,2008,2023049.0
Slovenia,SVN,2009,2033807.0
Slovenia,SVN,2010,2043336.0
Slovenia,SVN,2011,2051277.0
Slovenia,SVN,2012,2057826.0
Slovenia,SVN,2013,2063120.0
Slovenia,SVN,2014,2067487.0
Slovenia,SVN,2015,2071199.0
Slovenia,SVN,2016,2074205.0
Slovenia,SVN,2017,2076395.0
Slovenia,SVN,2018,2077835.0
Slovenia,SVN,2019,2078654.0
Slovenia,SVN,2020,2078931.0
Slovenia,SVN,2021,2078723.0
Slovenia,SVN,2022,2078031.0
