Entity,cca3,Year,population
Eswatini,SWZ,1990,822423.0
Eswatini,SWZ,1991,845267.0
Eswatini,SWZ,1992,866995.0
Eswatini,SWZ,1993,887706.0
Eswatini,SWZ,1994,907622.0
Eswatini,SWZ,1995,926836.0
Eswatini,SWZ,1996,945506.0
Eswatini,SWZ,1997,963416.0
Eswatini,SWZ,1998,979922.0
Eswatini,SWZ,1999,994105.0
Eswatini,SWZ,2000,1005432.0
Eswatini,SWZ,2001,1013608.0
Eswatini,SWZ,2002,1019054.0
Eswatini,SWZ,2003,1022796.0
Eswatini,SWZ,2004,1026287.0
Eswatini,SWZ,2005,1030575.0
Eswatini,SWZ,2006,1036095.0
Eswatini,SWZ,2007,1042651.0
Eswatini,SWZ,2008,1049948.0
Eswatini,SWZ,2009,1057462.0
Eswatini,SWZ,2010,1064841.0
Eswatini,SWZ,2011,1072029.0
Eswatini,SWZ,2012,1079285.0
Eswatini,SWZ,2013,1086843.0
Eswatini,SWZ,2014,1095022.0
Eswatini,SWZ,2015,1104038.0
Eswatini,SWZ,2016,1113994.0
Eswatini,SWZ,2017,1124808.0
Eswatini,SWZ,2018,1136274.0
Eswatini,SWZ,2019,1148133.0
Eswatini,SWZ,2020,1160164.0
Eswatini,SWZ,2021,1172369.0
Eswatini,SWZ,2022,1184821.0
