Entity,cca3,Year,population
Sint Maarten (Dutch part),SXM,1990,28814.0
Sint Maarten (Dutch part),SXM,1991,29852.0
Sint Maarten (Dutch part),SXM,1992,30458.0
Sint Maarten (Dutch part),SXM,1993,30765.0
Sint Maarten (Dutch part),SXM,1994,30950.0
Sint Maarten (Dutch part),SXM,1995,31164.0
Sint Maarten (Dutch part),SXM,1996,31434.0
Sint Maarten (Dutch part),SXM,1997,31731.0
Sint Maarten (Dutch part),SXM,1998,32043.0
Sint Maarten (Dutch part),SXM,1999,32320.0
Sint Maarten (Dutch part),SXM,2000,32564.0
Sint Maarten (Dutch part),SXM,2001,32782.0
Sint Maarten (Dutch part),SXM,2002,32990.0
Sint Maarten (Dutch part),SXM,2003,33195.0
Sint Maarten (Dutch part),SXM,2004,33342.0
Sint Maarten (Dutch part),SXM,2005,33436.0
Sint Maarten (Dutch part),SXM,2006,33452.0
Sint Maarten (Dutch part),SXM,2007,33406.0
Sint Maarten (Dutch part),SXM,2008,33424.0
Sint Maarten (Dutch part),SXM,2009,33650.0
Sint Maarten (Dutch part),SXM,2010,34166.0
Sint Maarten (Dutch part),SXM,2011,35050.0
Sint Maarten (Dutch part),SXM,2012,36238.0
Sint Maarten (Dutch part),SXM,2013,37580.0
Sint Maarten (Dutch part),SXM,2014,38872.0
Sint Maarten (Dutch part),SXM,2015,39967.0
Sint Maarten (Dutch part),SXM,2016,40812.0
Sint Maarten (Dutch part),SXM,2017,41444.0
Sint Maarten (Dutch part),SXM,2018,41936.0
Sint Maarten (Dutch part),SXM,2019,42389.0
Sint Maarten (Dutch part),SXM,2020,42882.0
Sint Maarten (Dutch part),SXM,2021,43421.0
Sint Maarten (Dutch part),SXM,2022,43970.0
