Entity,cca3,Year,population
Seychelles,SYC,1990,70572.0
Seychelles,SYC,1991,71446.0
Seychelles,SYC,1992,72661.0
Seychelles,SYC,1993,74071.0
Seychelles,SYC,1994,75444.0
Seychelles,SYC,1995,76653.0
Seychelles,SYC,1996,77597.0
Seychelles,SYC,1997,78357.0
Seychelles,SYC,1998,79064.0
Seychelles,SYC,1999,79904.0
Seychelles,SYC,2000,80998.0
Seychelles,SYC,2001,82413.0
Seychelles,SYC,2002,84077.0
Seychelles,SYC,2003,85807.0
Seychelles,SYC,2004,87388.0
Seychelles,SYC,2005,88652.0
Seychelles,SYC,2006,89528.0
Seychelles,SYC,2007,90082.0
Seychelles,SYC,2008,90450.0
Seychelles,SYC,2009,90788.0
Seychelles,SYC,2010,91273.0
Seychelles,SYC,2011,91882.0
Seychelles,SYC,2012,92608.0
Seychelles,SYC,2013,93397.0
Seychelles,SYC,2014,94214.0
Seychelles,SYC,2015,94981.0
Seychelles,SYC,2016,95711.0
Seychelles,SYC,2017,96418.0
Seychelles,SYC,2018,97094.0
Seychelles,SYC,2019,97741.0
Seychelles,SYC,2020,98340.0
Seychelles,SYC,2021,98910.0
Seychelles,SYC,2022,99433.0
