Entity,cca3,Year,population
Syria,SYR,1990,1.2446168E7
Syria,SYR,1991,1.28154E7
Syria,SYR,1992,1.3187669E7
Syria,SYR,1993,1.3565074E7
Syria,SYR,1994,1.3950486E7
Syria,SYR,1995,1.4345491E7
Syria,SYR,1996,1.4754148E7
Syria,SYR,1997,1.5175308E7
Syria,SYR,1998,1.5599588E7
Syria,SYR,1999,1.6013992E7
Syria,SYR,2000,1.6410847E7
Syria,SYR,2001,1.6766555E7
Syria,SYR,2002,1.7084628E7
Syria,SYR,2003,1.7415214E7
Syria,SYR,2004,1.7827827E7
Syria,SYR,2005,1.8361178E7
Syria,SYR,2006,1.9059257E7
Syria,SYR,2007,1.9878257E7
Syria,SYR,2008,2.0664037E7
Syria,SYR,2009,2.1205873E7
Syria,SYR,2010,2.1362541E7
Syria,SYR,2011,2.1081814E7
Syria,SYR,2012,2.0438861E7
Syria,SYR,2013,1.9578466E7
Syria,SYR,2014,1.8710711E7
Syria,SYR,2015,1.7997411E7
Syria,SYR,2016,1.7465567E7
Syria,SYR,2017,1.7095669E7
Syria,SYR,2018,1.6945062E7
Syria,SYR,2019,1.7070132E7
Syria,SYR,2020,1.7500657E7
Syria,SYR,2021,1.8275704E7
Syria,SYR,2022,1.9364807E7
