Entity,cca3,Year,population
Turks and Caicos Islands,TCA,1990,12115.0
Turks and Caicos Islands,TCA,1991,12815.0
Turks and Caicos Islands,TCA,1992,13639.0
Turks and Caicos Islands,TCA,1993,14526.0
Turks and Caicos Islands,TCA,1994,15399.0
Turks and Caicos Islands,TCA,1995,16221.0
Turks and Caicos Islands,TCA,1996,16930.0
Turks and Caicos Islands,TCA,1997,17566.0
Turks and Caicos Islands,TCA,1998,18228.0
Turks and Caicos Islands,TCA,1999,19069.0
Turks and Caicos Islands,TCA,2000,20171.0
Turks and Caicos Islands,TCA,2001,21578.0
Turks and Caicos Islands,TCA,2002,23230.0
Turks and Caicos Islands,TCA,2003,25008.0
Turks and Caicos Islands,TCA,2004,26709.0
Turks and Caicos Islands,TCA,2005,28181.0
Turks and Caicos Islands,TCA,2006,29394.0
Turks and Caicos Islands,TCA,2007,30383.0
Turks and Caicos Islands,TCA,2008,31200.0
Turks and Caicos Islands,TCA,2009,31933.0
Turks and Caicos Islands,TCA,2010,32658.0
Turks and Caicos Islands,TCA,2011,33371.0
Turks and Caicos Islands,TCA,2012,34067.0
Turks and Caicos Islands,TCA,2013,34733.0
Turks and Caicos Islands,TCA,2014,35371.0
Turks and Caicos Islands,TCA,2015,35979.0
Turks and Caicos Islands,TCA,2016,36558.0
Turks and Caicos Islands,TCA,2017,37116.0
Turks and Caicos Islands,TCA,2018,37667.0
Turks and Caicos Islands,TCA,2019,38194.0
Turks and Caicos Islands,TCA,2020,38718.0
Turks and Caicos Islands,TCA,2021,39226.0
Turks and Caicos Islands,TCA,2022,39744.0
