Entity,cca3,Year,population
Togo,TGO,1990,3774310.0
Togo,TGO,1991,3862998.0
Togo,TGO,1992,3945902.0
Togo,TGO,1993,4029044.0
Togo,TGO,1994,4120615.0
Togo,TGO,1995,4226293.0
Togo,TGO,1996,4348808.0
Togo,TGO,1997,4485945.0
Togo,TGO,1998,4632451.0
Togo,TGO,1999,4780455.0
Togo,TGO,2000,4924406.0
Togo,TGO,2001,5062571.0
Togo,TGO,2002,5197040.0
Togo,TGO,2003,5330629.0
Togo,TGO,2004,5467770.0
Togo,TGO,2005,5611643.0
Togo,TGO,2006,5762881.0
Togo,TGO,2007,5920360.0
Togo,TGO,2008,6083417.0
Togo,TGO,2009,6250840.0
Togo,TGO,2010,6421674.0
Togo,TGO,2011,6595939.0
Togo,TGO,2012,6773807.0
Togo,TGO,2013,6954721.0
Togo,TGO,2014,7137997.0
Togo,TGO,2015,7323162.0
Togo,TGO,2016,7509952.0
Togo,TGO,2017,7698476.0
Togo,TGO,2018,7889095.0
Togo,TGO,2019,8082359.0
Togo,TGO,2020,8278736.0
Togo,TGO,2021,8478242.0
Togo,TGO,2022,8680832.0
