Entity,cca3,Year,population
Thailand,THA,1990,5.6558196E7
Thailand,THA,1991,5.7232471E7
Thailand,THA,1992,5.7811025E7
Thailand,THA,1993,5.8337773E7
Thailand,THA,1994,5.8875275E7
Thailand,THA,1995,5.9467272E7
Thailand,THA,1996,6.013019E7
Thailand,THA,1997,6.0846588E7
Thailand,THA,1998,6.1585103E7
Thailand,THA,1999,6.2298569E7
Thailand,THA,2000,6.2952639E7
Thailand,THA,2001,6.353919E7
Thailand,THA,2002,6.4069093E7
Thailand,THA,2003,6.4549867E7
Thailand,THA,2004,6.4995303E7
Thailand,THA,2005,6.5416189E7
Thailand,THA,2006,6.5812539E7
Thailand,THA,2007,6.6182064E7
Thailand,THA,2008,6.6530979E7
Thailand,THA,2009,6.6866834E7
Thailand,THA,2010,6.7195032E7
Thailand,THA,2011,6.7518379E7
Thailand,THA,2012,6.7835969E7
Thailand,THA,2013,6.8144519E7
Thailand,THA,2014,6.8438748E7
Thailand,THA,2015,6.8714519E7
Thailand,THA,2016,6.8971313E7
Thailand,THA,2017,6.9209817E7
Thailand,THA,2018,6.9428454E7
Thailand,THA,2019,6.9625581E7
Thailand,THA,2020,6.9799978E7
Thailand,THA,2021,6.9950844E7
Thailand,THA,2022,7.0078198E7
