Entity,cca3,Year,population
Tajikistan,TJK,1990,5283811.0
Tajikistan,TJK,1991,5400636.0
Tajikistan,TJK,1992,5502490.0
Tajikistan,TJK,1993,5593317.0
Tajikistan,TJK,1994,5679169.0
Tajikistan,TJK,1995,5764806.0
Tajikistan,TJK,1996,5851354.0
Tajikistan,TJK,1997,5938404.0
Tajikistan,TJK,1998,6027395.0
Tajikistan,TJK,1999,6119664.0
Tajikistan,TJK,2000,6216329.0
Tajikistan,TJK,2001,6318510.0
Tajikistan,TJK,2002,6426861.0
Tajikistan,TJK,2003,6541550.0
Tajikistan,TJK,2004,6662391.0
Tajikistan,TJK,2005,6789318.0
Tajikistan,TJK,2006,6922590.0
Tajikistan,TJK,2007,7062667.0
Tajikistan,TJK,2008,7209924.0
Tajikistan,TJK,2009,7364752.0
Tajikistan,TJK,2010,7527397.0
Tajikistan,TJK,2011,7697507.0
Tajikistan,TJK,2012,7874838.0
Tajikistan,TJK,2013,8059782.0
Tajikistan,TJK,2014,8252827.0
Tajikistan,TJK,2015,8454019.0
Tajikistan,TJK,2016,8663575.0
Tajikistan,TJK,2017,8880270.0
Tajikistan,TJK,2018,9100847.0
Tajikistan,TJK,2019,9321023.0
Tajikistan,TJK,2020,9537642.0
Tajikistan,TJK,2021,9749625.0
Tajikistan,TJK,2022,9957468.0
