Entity,cca3,Year,population
Tokelau,TKL,1990,1604.0
Tokelau,TKL,1991,1575.0
Tokelau,TKL,1992,1558.0
Tokelau,TKL,1993,1537.0
Tokelau,TKL,1994,1524.0
Tokelau,TKL,1995,1507.0
Tokelau,TKL,1996,1522.0
Tokelau,TKL,1997,1547.0
Tokelau,TKL,1998,1569.0
Tokelau,TKL,1999,1574.0
Tokelau,TKL,2000,1550.0
Tokelau,TKL,2001,1506.0
Tokelau,TKL,2002,1438.0
Tokelau,TKL,2003,1348.0
Tokelau,TKL,2004,1265.0
Tokelau,TKL,2005,1213.0
Tokelau,TKL,2006,1165.0
Tokelau,TKL,2007,1143.0
Tokelau,TKL,2008,1134.0
Tokelau,TKL,2009,1126.0
Tokelau,TKL,2010,1129.0
Tokelau,TKL,2011,1138.0
Tokelau,TKL,2012,1163.0
Tokelau,TKL,2013,1191.0
Tokelau,TKL,2014,1217.0
Tokelau,TKL,2015,1247.0
Tokelau,TKL,2016,1276.0
Tokelau,TKL,2017,1297.0
Tokelau,TKL,2018,1318.0
Tokelau,TKL,2019,1330.0
Tokelau,TKL,2020,1350.0
Tokelau,TKL,2021,1368.0
Tokelau,TKL,2022,1378.0
