Entity,cca3,Year,population
Turkmenistan,TKM,1990,3683978.0
Turkmenistan,TKM,1991,3789188.0
Turkmenistan,TKM,1992,3899843.0
Turkmenistan,TKM,1993,4010789.0
Turkmenistan,TKM,1994,4115104.0
Turkmenistan,TKM,1995,4207841.0
Turkmenistan,TKM,1996,4287337.0
Turkmenistan,TKM,1997,4355125.0
Turkmenistan,TKM,1998,4413477.0
Turkmenistan,TKM,1999,4466133.0
Turkmenistan,TKM,2000,4516128.0
Turkmenistan,TKM,2001,4564087.0
Turkmenistan,TKM,2002,4610018.0
Turkmenistan,TKM,2003,4655752.0
Turkmenistan,TKM,2004,4703396.0
Turkmenistan,TKM,2005,4754652.0
Turkmenistan,TKM,2006,4810114.0
Turkmenistan,TKM,2007,4870142.0
Turkmenistan,TKM,2008,4935765.0
Turkmenistan,TKM,2009,5007953.0
Turkmenistan,TKM,2010,5087211.0
Turkmenistan,TKM,2011,5174076.0
Turkmenistan,TKM,2012,5267906.0
Turkmenistan,TKM,2013,5366376.0
Turkmenistan,TKM,2014,5466324.0
Turkmenistan,TKM,2015,5565283.0
Turkmenistan,TKM,2016,5662371.0
Turkmenistan,TKM,2017,5757667.0
Turkmenistan,TKM,2018,5850902.0
Turkmenistan,TKM,2019,5942094.0
Turkmenistan,TKM,2020,6031187.0
Turkmenistan,TKM,2021,6117933.0
Turkmenistan,TKM,2022,6201947.0
