Entity,cca3,Year,population
Timor,TLS,1990,737814.0
Timor,TLS,1991,759526.0
Timor,TLS,1992,783204.0
Timor,TLS,1993,806867.0
Timor,TLS,1994,827828.0
Timor,TLS,1995,844333.0
Timor,TLS,1996,855358.0
Timor,TLS,1997,861870.0
Timor,TLS,1998,866523.0
Timor,TLS,1999,873138.0
Timor,TLS,2000,884366.0
Timor,TLS,2001,901214.0
Timor,TLS,2002,922699.0
Timor,TLS,2003,947110.0
Timor,TLS,2004,971889.0
Timor,TLS,2005,995130.0
Timor,TLS,2006,1016437.0
Timor,TLS,2007,1036387.0
Timor,TLS,2008,1055428.0
Timor,TLS,2009,1074286.0
Timor,TLS,2010,1093517.0
Timor,TLS,2011,1113154.0
Timor,TLS,2012,1133002.0
Timor,TLS,2013,1153288.0
Timor,TLS,2014,1174333.0
Timor,TLS,2015,1196294.0
Timor,TLS,2016,1219289.0
Timor,TLS,2017,1243260.0
Timor,TLS,2018,1267975.0
Timor,TLS,2019,1293120.0
Timor,TLS,2020,1318442.0
Timor,TLS,2021,1343875.0
Timor,TLS,2022,1369431.0
