Entity,cca3,Year,population
Tonga,TON,1990,95069.0
Tonga,TON,1991,95243.0
Tonga,TON,1992,95398.0
Tonga,TON,1993,95556.0
Tonga,TON,1994,95739.0
Tonga,TON,1995,95972.0
Tonga,TON,1996,96267.0
Tonga,TON,1997,96621.0
Tonga,TON,1998,97036.0
Tonga,TON,1999,97475.0
Tonga,TON,2000,97962.0
Tonga,TON,2001,98482.0
Tonga,TON,2002,99023.0
Tonga,TON,2003,99591.0
Tonga,TON,2004,100214.0
Tonga,TON,2005,100908.0
Tonga,TON,2006,101714.0
Tonga,TON,2007,102577.0
Tonga,TON,2008,103384.0
Tonga,TON,2009,103897.0
Tonga,TON,2010,103981.0
Tonga,TON,2011,103558.0
Tonga,TON,2012,102736.0
Tonga,TON,2013,101768.0
Tonga,TON,2014,101023.0
Tonga,TON,2015,100780.0
Tonga,TON,2016,101143.0
Tonga,TON,2017,102002.0
Tonga,TON,2018,103199.0
Tonga,TON,2019,104497.0
Tonga,TON,2020,105697.0
Tonga,TON,2021,106759.0
Tonga,TON,2022,107748.0
