Entity,cca3,Year,population
Trinidad and Tobago,TTO,1990,1221121.0
Trinidad and Tobago,TTO,1991,1229108.0
Trinidad and Tobago,TTO,1992,1236685.0
Trinidad and Tobago,TTO,1993,1243605.0
Trinidad and Tobago,TTO,1994,1249527.0
Trinidad and Tobago,TTO,1995,1254200.0
Trinidad and Tobago,TTO,1996,1257547.0
Trinidad and Tobago,TTO,1997,1259838.0
Trinidad and Tobago,TTO,1998,1261699.0
Trinidad and Tobago,TTO,1999,1263927.0
Trinidad and Tobago,TTO,2000,1267159.0
Trinidad and Tobago,TTO,2001,1271627.0
Trinidad and Tobago,TTO,2002,1277210.0
Trinidad and Tobago,TTO,2003,1283564.0
Trinidad and Tobago,TTO,2004,1290115.0
Trinidad and Tobago,TTO,2005,1296497.0
Trinidad and Tobago,TTO,2006,1302552.0
Trinidad and Tobago,TTO,2007,1308450.0
Trinidad and Tobago,TTO,2008,1314449.0
Trinidad and Tobago,TTO,2009,1320921.0
Trinidad and Tobago,TTO,2010,1328144.0
Trinidad and Tobago,TTO,2011,1336180.0
Trinidad and Tobago,TTO,2012,1344814.0
Trinidad and Tobago,TTO,2013,1353708.0
Trinidad and Tobago,TTO,2014,1362337.0
Trinidad and Tobago,TTO,2015,1370332.0
Trinidad and Tobago,TTO,2016,1377563.0
Trinidad and Tobago,TTO,2017,1384060.0
Trinidad and Tobago,TTO,2018,1389841.0
Trinidad and Tobago,TTO,2019,1394969.0
Trinidad and Tobago,TTO,2020,1399491.0
Trinidad and Tobago,TTO,2021,1403374.0
Trinidad and Tobago,TTO,2022,1406587.0
