Entity,cca3,Year,population
Tunisia,TUN,1990,8242509.0
Tunisia,TUN,1991,8427851.0
Tunisia,TUN,1992,8613855.0
Tunisia,TUN,1993,8795934.0
Tunisia,TUN,1994,8967916.0
Tunisia,TUN,1995,9125400.0
Tunisia,TUN,1996,9267335.0
Tunisia,TUN,1997,9395119.0
Tunisia,TUN,1998,9509862.0
Tunisia,TUN,1999,9613587.0
Tunisia,TUN,2000,9708347.0
Tunisia,TUN,2001,9793915.0
Tunisia,TUN,2002,9871261.0
Tunisia,TUN,2003,9945282.0
Tunisia,TUN,2004,1.0022278E7
Tunisia,TUN,2005,1.0106778E7
Tunisia,TUN,2006,1.0201211E7
Tunisia,TUN,2007,1.0304729E7
Tunisia,TUN,2008,1.0414425E7
Tunisia,TUN,2009,1.0525691E7
Tunisia,TUN,2010,1.0635245E7
Tunisia,TUN,2011,1.0741872E7
Tunisia,TUN,2012,1.0846993E7
Tunisia,TUN,2013,1.0952949E7
Tunisia,TUN,2014,1.1063195E7
Tunisia,TUN,2015,1.1179951E7
Tunisia,TUN,2016,1.1303942E7
Tunisia,TUN,2017,1.1433438E7
Tunisia,TUN,2018,1.1565203E7
Tunisia,TUN,2019,1.1694721E7
Tunisia,TUN,2020,1.1818618E7
Tunisia,TUN,2021,1.1935764E7
Tunisia,TUN,2022,1.2046656E7
