Entity,cca3,Year,population
Turkey,TUR,1990,5.3921758E7
Turkey,TUR,1991,5.4840595E7
Turkey,TUR,1992,5.5748946E7
Turkey,TUR,1993,5.6653808E7
Turkey,TUR,1994,5.7564209E7
Turkey,TUR,1995,5.8486453E7
Turkey,TUR,1996,5.9423278E7
Turkey,TUR,1997,6.0372571E7
Turkey,TUR,1998,6.1329665E7
Turkey,TUR,1999,6.2287391E7
Turkey,TUR,2000,6.3240196E7
Turkey,TUR,2001,6.4192243E7
Turkey,TUR,2002,6.5145357E7
Turkey,TUR,2003,6.6089402E7
Turkey,TUR,2004,6.7010929E7
Turkey,TUR,2005,6.7903461E7
Turkey,TUR,2006,6.8756809E7
Turkey,TUR,2007,6.9581854E7
Turkey,TUR,2008,7.0418612E7
Turkey,TUR,2009,7.1321406E7
Turkey,TUR,2010,7.2326992E7
Turkey,TUR,2011,7.3443254E7
Turkey,TUR,2012,7.4651046E7
Turkey,TUR,2013,7.5925454E7
Turkey,TUR,2014,7.7229262E7
Turkey,TUR,2015,7.8529413E7
Turkey,TUR,2016,7.9827868E7
Turkey,TUR,2017,8.1116451E7
Turkey,TUR,2018,8.234009E7
Turkey,TUR,2019,8.3429607E7
Turkey,TUR,2020,8.4339067E7
Turkey,TUR,2021,8.5042736E7
Turkey,TUR,2022,8.5561976E7
