Entity,cca3,Year,population
Tuvalu,TUV,1990,8910.0
Tuvalu,TUV,1991,9014.0
Tuvalu,TUV,1992,9110.0
Tuvalu,TUV,1993,9194.0
Tuvalu,TUV,1994,9259.0
Tuvalu,TUV,1995,9298.0
Tuvalu,TUV,1996,9317.0
Tuvalu,TUV,1997,9328.0
Tuvalu,TUV,1998,9332.0
Tuvalu,TUV,1999,9344.0
Tuvalu,TUV,2000,9392.0
Tuvalu,TUV,2001,9478.0
Tuvalu,TUV,2002,9593.0
Tuvalu,TUV,2003,9724.0
Tuvalu,TUV,2004,9871.0
Tuvalu,TUV,2005,9997.0
Tuvalu,TUV,2006,10118.0
Tuvalu,TUV,2007,10219.0
Tuvalu,TUV,2008,10315.0
Tuvalu,TUV,2009,10413.0
Tuvalu,TUV,2010,10521.0
Tuvalu,TUV,2011,10626.0
Tuvalu,TUV,2012,10744.0
Tuvalu,TUV,2013,10849.0
Tuvalu,TUV,2014,10973.0
Tuvalu,TUV,2015,11099.0
Tuvalu,TUV,2016,11232.0
Tuvalu,TUV,2017,11365.0
Tuvalu,TUV,2018,11505.0
Tuvalu,TUV,2019,11655.0
Tuvalu,TUV,2020,11792.0
Tuvalu,TUV,2021,11925.0
Tuvalu,TUV,2022,12060.0
