Entity,cca3,Year,population
Tanzania,TZA,1990,2.5203848E7
Tanzania,TZA,1991,2.6056605E7
Tanzania,TZA,1992,2.6961204E7
Tanzania,TZA,1993,2.7887204E7
Tanzania,TZA,1994,2.8792649E7
Tanzania,TZA,1995,2.9649128E7
Tanzania,TZA,1996,3.0444523E7
Tanzania,TZA,1997,3.1192853E7
Tanzania,TZA,1998,3.1924201E7
Tanzania,TZA,1999,3.268224E7
Tanzania,TZA,2000,3.3499177E7
Tanzania,TZA,2001,3.4385849E7
Tanzania,TZA,2002,3.533479E7
Tanzania,TZA,2003,3.6337778E7
Tanzania,TZA,2004,3.7379766E7
Tanzania,TZA,2005,3.8450323E7
Tanzania,TZA,2006,3.9548666E7
Tanzania,TZA,2007,4.0681416E7
Tanzania,TZA,2008,4.1853944E7
Tanzania,TZA,2009,4.307383E7
Tanzania,TZA,2010,4.4346532E7
Tanzania,TZA,2011,4.567352E7
Tanzania,TZA,2012,4.7053033E7
Tanzania,TZA,2013,4.8483132E7
Tanzania,TZA,2014,4.9960563E7
Tanzania,TZA,2015,5.1482638E7
Tanzania,TZA,2016,5.3049231E7
Tanzania,TZA,2017,5.4660345E7
Tanzania,TZA,2018,5.6313444E7
Tanzania,TZA,2019,5.8005461E7
Tanzania,TZA,2020,5.9734213E7
Tanzania,TZA,2021,6.1498438E7
Tanzania,TZA,2022,6.3298542E7
