Entity,cca3,Year,population
Uganda,UGA,1990,1.7354395E7
Uganda,UGA,1991,1.7953534E7
Uganda,UGA,1992,1.8561668E7
Uganda,UGA,1993,1.9175986E7
Uganda,UGA,1994,1.9793541E7
Uganda,UGA,1995,2.0413157E7
Uganda,UGA,1996,2.1032817E7
Uganda,UGA,1997,2.1655392E7
Uganda,UGA,1998,2.2290787E7
Uganda,UGA,1999,2.2952406E7
Uganda,UGA,2000,2.3650159E7
Uganda,UGA,2001,2.4388974E7
Uganda,UGA,2002,2.5167261E7
Uganda,UGA,2003,2.5980547E7
Uganda,UGA,2004,2.68213E7
Uganda,UGA,2005,2.768459E7
Uganda,UGA,2006,2.8571475E7
Uganda,UGA,2007,2.9486335E7
Uganda,UGA,2008,3.0431734E7
Uganda,UGA,2009,3.1411096E7
Uganda,UGA,2010,3.2428164E7
Uganda,UGA,2011,3.3476771E7
Uganda,UGA,2012,3.45587E7
Uganda,UGA,2013,3.5694519E7
Uganda,UGA,2014,3.691153E7
Uganda,UGA,2015,3.8225447E7
Uganda,UGA,2016,3.9649173E7
Uganda,UGA,2017,4.1166588E7
Uganda,UGA,2018,4.2729032E7
Uganda,UGA,2019,4.4269587E7
Uganda,UGA,2020,4.5741E7
Uganda,UGA,2021,4.7123533E7
Uganda,UGA,2022,4.8432873E7
