Entity,cca3,Year,population
Ukraine,UKR,1990,5.1463101E7
Ukraine,UKR,1991,5.1461273E7
Ukraine,UKR,1992,5.1415957E7
Ukraine,UKR,1993,5.1316013E7
Ukraine,UKR,1994,5.1147771E7
Ukraine,UKR,1995,5.0903783E7
Ukraine,UKR,1996,5.0580467E7
Ukraine,UKR,1997,5.018728E7
Ukraine,UKR,1998,4.9746523E7
Ukraine,UKR,1999,4.9288739E7
Ukraine,UKR,2000,4.8838058E7
Ukraine,UKR,2001,4.8401648E7
Ukraine,UKR,2002,4.7980033E7
Ukraine,UKR,2003,4.7582463E7
Ukraine,UKR,2004,4.7217489E7
Ukraine,UKR,2005,4.6890775E7
Ukraine,UKR,2006,4.6607397E7
Ukraine,UKR,2007,4.6366347E7
Ukraine,UKR,2008,4.6158709E7
Ukraine,UKR,2009,4.5970942E7
Ukraine,UKR,2010,4.5792086E7
Ukraine,UKR,2011,4.561985E7
Ukraine,UKR,2012,4.5453805E7
Ukraine,UKR,2013,4.5286988E7
Ukraine,UKR,2014,4.511153E7
Ukraine,UKR,2015,4.4921636E7
Ukraine,UKR,2016,4.4713708E7
Ukraine,UKR,2017,4.4487708E7
Ukraine,UKR,2018,4.4246158E7
Ukraine,UKR,2019,4.3993643E7
Ukraine,UKR,2020,4.3733759E7
Ukraine,UKR,2021,4.3466822E7
Ukraine,UKR,2022,4.319212E7
