Entity,cca3,Year,population
Uruguay,URY,1990,3109598.0
Uruguay,URY,1991,3131657.0
Uruguay,URY,1992,3154459.0
Uruguay,URY,1993,3177734.0
Uruguay,URY,1994,3201149.0
Uruguay,URY,1995,3224275.0
Uruguay,URY,1996,3247383.0
Uruguay,URY,1997,3270158.0
Uruguay,URY,1998,3291053.0
Uruguay,URY,1999,3308005.0
Uruguay,URY,2000,3319734.0
Uruguay,URY,2001,3325471.0
Uruguay,URY,2002,3326046.0
Uruguay,URY,2003,3323661.0
Uruguay,URY,2004,3321486.0
Uruguay,URY,2005,3321799.0
Uruguay,URY,2006,3325403.0
Uruguay,URY,2007,3331753.0
Uruguay,URY,2008,3340221.0
Uruguay,URY,2009,3349676.0
Uruguay,URY,2010,3359273.0
Uruguay,URY,2011,3368926.0
Uruguay,URY,2012,3378975.0
Uruguay,URY,2013,3389436.0
Uruguay,URY,2014,3400439.0
Uruguay,URY,2015,3412013.0
Uruguay,URY,2016,3424139.0
Uruguay,URY,2017,3436645.0
Uruguay,URY,2018,3449290.0
Uruguay,URY,2019,3461731.0
Uruguay,URY,2020,3473727.0
Uruguay,URY,2021,3485152.0
Uruguay,URY,2022,3496015.0
