Entity,cca3,Year,population
Uzbekistan,UZB,1990,2.0398347E7
Uzbekistan,UZB,1991,2.0884862E7
Uzbekistan,UZB,1992,2.1375114E7
Uzbekistan,UZB,1993,2.1861974E7
Uzbekistan,UZB,1994,2.2336202E7
Uzbekistan,UZB,1995,2.2791033E7
Uzbekistan,UZB,1996,2.3225303E7
Uzbekistan,UZB,1997,2.3640487E7
Uzbekistan,UZB,1998,2.4036017E7
Uzbekistan,UZB,1999,2.4412051E7
Uzbekistan,UZB,2000,2.4769955E7
Uzbekistan,UZB,2001,2.5108554E7
Uzbekistan,UZB,2002,2.5431116E7
Uzbekistan,UZB,2003,2.5749109E7
Uzbekistan,UZB,2004,2.6077614E7
Uzbekistan,UZB,2005,2.6427785E7
Uzbekistan,UZB,2006,2.6804067E7
Uzbekistan,UZB,2007,2.7204711E7
Uzbekistan,UZB,2008,2.7626981E7
Uzbekistan,UZB,2009,2.8065469E7
Uzbekistan,UZB,2010,2.8515908E7
Uzbekistan,UZB,2011,2.8977006E7
Uzbekistan,UZB,2012,2.9449415E7
Uzbekistan,UZB,2013,2.993263E7
Uzbekistan,UZB,2014,3.0426394E7
Uzbekistan,UZB,2015,3.0929556E7
Uzbekistan,UZB,2016,3.1441753E7
Uzbekistan,UZB,2017,3.1959774E7
Uzbekistan,UZB,2018,3.2476232E7
Uzbekistan,UZB,2019,3.2981714E7
Uzbekistan,UZB,2020,3.3469199E7
Uzbekistan,UZB,2021,3.3935765E7
Uzbekistan,UZB,2022,3.4382077E7
