Entity,cca3,Year,population
Vatican,VAT,1990,762.0
Vatican,VAT,1991,762.0
Vatican,VAT,1992,773.0
Vatican,VAT,1993,780.0
Vatican,VAT,1994,777.0
Vatican,VAT,1995,778.0
Vatican,VAT,1996,784.0
Vatican,VAT,1997,787.0
Vatican,VAT,1998,786.0
Vatican,VAT,1999,788.0
Vatican,VAT,2000,790.0
Vatican,VAT,2001,792.0
Vatican,VAT,2002,792.0
Vatican,VAT,2003,792.0
Vatican,VAT,2004,795.0
Vatican,VAT,2005,798.0
Vatican,VAT,2006,795.0
Vatican,VAT,2007,794.0
Vatican,VAT,2008,792.0
Vatican,VAT,2009,787.0
Vatican,VAT,2010,783.0
Vatican,VAT,2011,786.0
Vatican,VAT,2012,786.0
Vatican,VAT,2013,786.0
Vatican,VAT,2014,785.0
Vatican,VAT,2015,790.0
Vatican,VAT,2016,791.0
Vatican,VAT,2017,798.0
Vatican,VAT,2018,810.0
Vatican,VAT,2019,815.0
Vatican,VAT,2020,809.0
Vatican,VAT,2021,812.0
Vatican,VAT,2022,808.0
