Entity,cca3,Year,population
Saint Vincent and the Grenadines,VCT,1990,107489.0
Saint Vincent and the Grenadines,VCT,1991,107772.0
Saint Vincent and the Grenadines,VCT,1992,107941.0
Saint Vincent and the Grenadines,VCT,1993,108036.0
Saint Vincent and the Grenadines,VCT,1994,108059.0
Saint Vincent and the Grenadines,VCT,1995,108043.0
Saint Vincent and the Grenadines,VCT,1996,107983.0
Saint Vincent and the Grenadines,VCT,1997,107895.0
Saint Vincent and the Grenadines,VCT,1998,107807.0
Saint Vincent and the Grenadines,VCT,1999,107763.0
Saint Vincent and the Grenadines,VCT,2000,107787.0
Saint Vincent and the Grenadines,VCT,2001,107893.0
Saint Vincent and the Grenadines,VCT,2002,108095.0
Saint Vincent and the Grenadines,VCT,2003,108322.0
Saint Vincent and the Grenadines,VCT,2004,108520.0
Saint Vincent and the Grenadines,VCT,2005,108617.0
Saint Vincent and the Grenadines,VCT,2006,108602.0
Saint Vincent and the Grenadines,VCT,2007,108516.0
Saint Vincent and the Grenadines,VCT,2008,108401.0
Saint Vincent and the Grenadines,VCT,2009,108293.0
Saint Vincent and the Grenadines,VCT,2010,108260.0
Saint Vincent and the Grenadines,VCT,2011,108315.0
Saint Vincent and the Grenadines,VCT,2012,108435.0
Saint Vincent and the Grenadines,VCT,2013,108624.0
Saint Vincent and the Grenadines,VCT,2014,108868.0
Saint Vincent and the Grenadines,VCT,2015,109135.0
Saint Vincent and the Grenadines,VCT,2016,109467.0
Saint Vincent and the Grenadines,VCT,2017,109826.0
Saint Vincent and the Grenadines,VCT,2018,110210.0
Saint Vincent and the Grenadines,VCT,2019,110593.0
Saint Vincent and the Grenadines,VCT,2020,110947.0
Saint Vincent and the Grenadines,VCT,2021,111269.0
Saint Vincent and the Grenadines,VCT,2022,111552.0
