Entity,cca3,Year,population
Venezuela,VEN,1990,1.9632665E7
Venezuela,VEN,1991,2.0096314E7
Venezuela,VEN,1992,2.0557694E7
Venezuela,VEN,1993,2.10169E7
Venezuela,VEN,1994,2.1474553E7
Venezuela,VEN,1995,2.1931087E7
Venezuela,VEN,1996,2.238565E7
Venezuela,VEN,1997,2.2837743E7
Venezuela,VEN,1998,2.3288567E7
Venezuela,VEN,1999,2.3739835E7
Venezuela,VEN,2000,2.4192449E7
Venezuela,VEN,2001,2.4646471E7
Venezuela,VEN,2002,2.5100407E7
Venezuela,VEN,2003,2.5551624E7
Venezuela,VEN,2004,2.5996594E7
Venezuela,VEN,2005,2.6432445E7
Venezuela,VEN,2006,2.685019E7
Venezuela,VEN,2007,2.7247601E7
Venezuela,VEN,2008,2.7635827E7
Venezuela,VEN,2009,2.803101E7
Venezuela,VEN,2010,2.8439942E7
Venezuela,VEN,2011,2.8887873E7
Venezuela,VEN,2012,2.9360827E7
Venezuela,VEN,2013,2.9781046E7
Venezuela,VEN,2014,3.0042973E7
Venezuela,VEN,2015,3.0081827E7
Venezuela,VEN,2016,2.9851249E7
Venezuela,VEN,2017,2.940248E7
Venezuela,VEN,2018,2.8887117E7
Venezuela,VEN,2019,2.8515829E7
Venezuela,VEN,2020,2.8435943E7
Venezuela,VEN,2021,2.8704947E7
Venezuela,VEN,2022,2.9266989E7
