Entity,cca3,Year,population
United States Virgin Islands,VIR,1990,103755.0
United States Virgin Islands,VIR,1991,104088.0
United States Virgin Islands,VIR,1992,104795.0
United States Virgin Islands,VIR,1993,105730.0
United States Virgin Islands,VIR,1994,106642.0
United States Virgin Islands,VIR,1995,107388.0
United States Virgin Islands,VIR,1996,107939.0
United States Virgin Islands,VIR,1997,108313.0
United States Virgin Islands,VIR,1998,108551.0
United States Virgin Islands,VIR,1999,108675.0
United States Virgin Islands,VIR,2000,108730.0
United States Virgin Islands,VIR,2001,108689.0
United States Virgin Islands,VIR,2002,108556.0
United States Virgin Islands,VIR,2003,108354.0
United States Virgin Islands,VIR,2004,108100.0
United States Virgin Islands,VIR,2005,107801.0
United States Virgin Islands,VIR,2006,107466.0
United States Virgin Islands,VIR,2007,107118.0
United States Virgin Islands,VIR,2008,106753.0
United States Virgin Islands,VIR,2009,106416.0
United States Virgin Islands,VIR,2010,106086.0
United States Virgin Islands,VIR,2011,105794.0
United States Virgin Islands,VIR,2012,105524.0
United States Virgin Islands,VIR,2013,105304.0
United States Virgin Islands,VIR,2014,105107.0
United States Virgin Islands,VIR,2015,104950.0
United States Virgin Islands,VIR,2016,104829.0
United States Virgin Islands,VIR,2017,104745.0
United States Virgin Islands,VIR,2018,104672.0
United States Virgin Islands,VIR,2019,104579.0
United States Virgin Islands,VIR,2020,104423.0
United States Virgin Islands,VIR,2021,104218.0
United States Virgin Islands,VIR,2022,103969.0
