Entity,cca3,Year,population
Vietnam,VNM,1990,6.7988855E7
Vietnam,VNM,1991,6.9436956E7
Vietnam,VNM,1992,7.0883488E7
Vietnam,VNM,1993,7.2300308E7
Vietnam,VNM,1994,7.365122E7
Vietnam,VNM,1995,7.4910462E7
Vietnam,VNM,1996,7.6068739E7
Vietnam,VNM,1997,7.7133212E7
Vietnam,VNM,1998,7.8115712E7
Vietnam,VNM,1999,7.9035871E7
Vietnam,VNM,2000,7.9910411E7
Vietnam,VNM,2001,8.07425E7
Vietnam,VNM,2002,8.1534406E7
Vietnam,VNM,2003,8.230165E7
Vietnam,VNM,2004,8.3062819E7
Vietnam,VNM,2005,8.3832662E7
Vietnam,VNM,2006,8.4617545E7
Vietnam,VNM,2007,8.5419588E7
Vietnam,VNM,2008,8.6243424E7
Vietnam,VNM,2009,8.709225E7
Vietnam,VNM,2010,8.7967655E7
Vietnam,VNM,2011,8.8871384E7
Vietnam,VNM,2012,8.9801926E7
Vietnam,VNM,2013,9.0752593E7
Vietnam,VNM,2014,9.171385E7
Vietnam,VNM,2015,9.2677082E7
Vietnam,VNM,2016,9.3640435E7
Vietnam,VNM,2017,9.4600643E7
Vietnam,VNM,2018,9.5545959E7
Vietnam,VNM,2019,9.6462108E7
Vietnam,VNM,2020,9.7338583E7
Vietnam,VNM,2021,9.8168829E7
Vietnam,VNM,2022,9.8953535E7
