Entity,cca3,Year,population
Vanuatu,VUT,1990,146575.0
Vanuatu,VUT,1991,150718.0
Vanuatu,VUT,1992,155176.0
Vanuatu,VUT,1993,159743.0
Vanuatu,VUT,1994,164128.0
Vanuatu,VUT,1995,168161.0
Vanuatu,VUT,1996,171721.0
Vanuatu,VUT,1997,174917.0
Vanuatu,VUT,1998,177987.0
Vanuatu,VUT,1999,181259.0
Vanuatu,VUT,2000,184964.0
Vanuatu,VUT,2001,189209.0
Vanuatu,VUT,2002,193927.0
Vanuatu,VUT,2003,198960.0
Vanuatu,VUT,2004,204123.0
Vanuatu,VUT,2005,209282.0
Vanuatu,VUT,2006,214379.0
Vanuatu,VUT,2007,219464.0
Vanuatu,VUT,2008,224700.0
Vanuatu,VUT,2009,230244.0
Vanuatu,VUT,2010,236216.0
Vanuatu,VUT,2011,242658.0
Vanuatu,VUT,2012,249505.0
Vanuatu,VUT,2013,256637.0
Vanuatu,VUT,2014,263888.0
Vanuatu,VUT,2015,271128.0
Vanuatu,VUT,2016,278326.0
Vanuatu,VUT,2017,285499.0
Vanuatu,VUT,2018,292675.0
Vanuatu,VUT,2019,299882.0
Vanuatu,VUT,2020,307150.0
Vanuatu,VUT,2021,314464.0
Vanuatu,VUT,2022,321834.0
