Entity,cca3,Year,population
Wallis and Futuna,WLF,1990,13794.0
Wallis and Futuna,WLF,1991,13823.0
Wallis and Futuna,WLF,1992,13873.0
Wallis and Futuna,WLF,1993,13955.0
Wallis and Futuna,WLF,1994,14056.0
Wallis and Futuna,WLF,1995,14147.0
Wallis and Futuna,WLF,1996,14255.0
Wallis and Futuna,WLF,1997,14351.0
Wallis and Futuna,WLF,1998,14463.0
Wallis and Futuna,WLF,1999,14580.0
Wallis and Futuna,WLF,2000,14697.0
Wallis and Futuna,WLF,2001,14835.0
Wallis and Futuna,WLF,2002,14991.0
Wallis and Futuna,WLF,2003,15098.0
Wallis and Futuna,WLF,2004,15097.0
Wallis and Futuna,WLF,2005,14937.0
Wallis and Futuna,WLF,2006,14607.0
Wallis and Futuna,WLF,2007,14128.0
Wallis and Futuna,WLF,2008,13576.0
Wallis and Futuna,WLF,2009,13071.0
Wallis and Futuna,WLF,2010,12686.0
Wallis and Futuna,WLF,2011,12463.0
Wallis and Futuna,WLF,2012,12369.0
Wallis and Futuna,WLF,2013,12353.0
Wallis and Futuna,WLF,2014,12338.0
Wallis and Futuna,WLF,2015,12262.0
Wallis and Futuna,WLF,2016,12098.0
Wallis and Futuna,WLF,2017,11894.0
Wallis and Futuna,WLF,2018,11653.0
Wallis and Futuna,WLF,2019,11436.0
Wallis and Futuna,WLF,2020,11246.0
Wallis and Futuna,WLF,2021,11094.0
Wallis and Futuna,WLF,2022,10979.0
