Entity,cca3,Year,population
Samoa,WSM,1990,162797.0
Samoa,WSM,1991,164000.0
Samoa,WSM,1992,165490.0
Samoa,WSM,1993,167117.0
Samoa,WSM,1994,168689.0
Samoa,WSM,1995,170050.0
Samoa,WSM,1996,171165.0
Samoa,WSM,1997,172065.0
Samoa,WSM,1998,172839.0
Samoa,WSM,1999,173606.0
Samoa,WSM,2000,174454.0
Samoa,WSM,2001,175394.0
Samoa,WSM,2002,176410.0
Samoa,WSM,2003,177481.0
Samoa,WSM,2004,178597.0
Samoa,WSM,2005,179722.0
Samoa,WSM,2006,180874.0
Samoa,WSM,2007,182045.0
Samoa,WSM,2008,183270.0
Samoa,WSM,2009,184553.0
Samoa,WSM,2010,185944.0
Samoa,WSM,2011,187469.0
Samoa,WSM,2012,189089.0
Samoa,WSM,2013,190712.0
Samoa,WSM,2014,192220.0
Samoa,WSM,2015,193510.0
Samoa,WSM,2016,194540.0
Samoa,WSM,2017,195358.0
Samoa,WSM,2018,196128.0
Samoa,WSM,2019,197093.0
Samoa,WSM,2020,198410.0
Samoa,WSM,2021,200144.0
Samoa,WSM,2022,202241.0
