Entity,cca3,Year,population
Yemen,YEM,1990,1.1709987E7
Yemen,YEM,1991,1.2302127E7
Yemen,YEM,1992,1.2954157E7
Yemen,YEM,1993,1.3634082E7
Yemen,YEM,1994,1.4297617E7
Yemen,YEM,1995,1.4913313E7
Yemen,YEM,1996,1.5469274E7
Yemen,YEM,1997,1.5975676E7
Yemen,YEM,1998,1.6450306E7
Yemen,YEM,1999,1.6921157E7
Yemen,YEM,2000,1.7409071E7
Yemen,YEM,2001,1.7918369E7
Yemen,YEM,2002,1.8443684E7
Yemen,YEM,2003,1.8985001E7
Yemen,YEM,2004,1.9540096E7
Yemen,YEM,2005,2.0107416E7
Yemen,YEM,2006,2.0687648E7
Yemen,YEM,2007,2.1282514E7
Yemen,YEM,2008,2.1892149E7
Yemen,YEM,2009,2.2516464E7
Yemen,YEM,2010,2.3154854E7
Yemen,YEM,2011,2.3807586E7
Yemen,YEM,2012,2.4473176E7
Yemen,YEM,2013,2.5147112E7
Yemen,YEM,2014,2.5823488E7
Yemen,YEM,2015,2.6497881E7
Yemen,YEM,2016,2.716821E7
Yemen,YEM,2017,2.7834811E7
Yemen,YEM,2018,2.8498683E7
Yemen,YEM,2019,2.9161922E7
Yemen,YEM,2020,2.9825968E7
Yemen,YEM,2021,3.0490639E7
Yemen,YEM,2022,3.1154866E7
