Entity,cca3,Year,population
South Africa,ZAF,1990,3.6800507E7
South Africa,ZAF,1991,3.7718952E7
South Africa,ZAF,1992,3.8672611E7
South Africa,ZAF,1993,3.9633754E7
South Africa,ZAF,1994,4.0564061E7
South Africa,ZAF,1995,4.1435761E7
South Africa,ZAF,1996,4.2241007E7
South Africa,ZAF,1997,4.2987456E7
South Africa,ZAF,1998,4.3682259E7
South Africa,ZAF,1999,4.4338551E7
South Africa,ZAF,2000,4.4967713E7
South Africa,ZAF,2001,4.5571272E7
South Africa,ZAF,2002,4.6150913E7
South Africa,ZAF,2003,4.6719203E7
South Africa,ZAF,2004,4.729161E7
South Africa,ZAF,2005,4.7880595E7
South Africa,ZAF,2006,4.8489464E7
South Africa,ZAF,2007,4.9119766E7
South Africa,ZAF,2008,4.9779472E7
South Africa,ZAF,2009,5.0477013E7
South Africa,ZAF,2010,5.1216967E7
South Africa,ZAF,2011,5.2003759E7
South Africa,ZAF,2012,5.2832659E7
South Africa,ZAF,2013,5.3687125E7
South Africa,ZAF,2014,5.4544184E7
South Africa,ZAF,2015,5.5386369E7
South Africa,ZAF,2016,5.6207649E7
South Africa,ZAF,2017,5.7009751E7
South Africa,ZAF,2018,5.779252E7
South Africa,ZAF,2019,5.8558267E7
South Africa,ZAF,2020,5.930869E7
South Africa,ZAF,2021,6.0041996E7
South Africa,ZAF,2022,6.0756134E7
