Entity,cca3,Year,population
Zambia,ZMB,1990,8036849.0
Zambia,ZMB,1991,8246662.0
Zambia,ZMB,1992,8451346.0
Zambia,ZMB,1993,8656484.0
Zambia,ZMB,1994,8869745.0
Zambia,ZMB,1995,9096608.0
Zambia,ZMB,1996,9339740.0
Zambia,ZMB,1997,9597610.0
Zambia,ZMB,1998,9866474.0
Zambia,ZMB,1999,1.0140564E7
Zambia,ZMB,2000,1.0415942E7
Zambia,ZMB,2001,1.0692197E7
Zambia,ZMB,2002,1.0971704E7
Zambia,ZMB,2003,1.125674E7
Zambia,ZMB,2004,1.1550641E7
Zambia,ZMB,2005,1.1856244E7
Zambia,ZMB,2006,1.2173518E7
Zambia,ZMB,2007,1.2502958E7
Zambia,ZMB,2008,1.2848531E7
Zambia,ZMB,2009,1.3215142E7
Zambia,ZMB,2010,1.3605986E7
Zambia,ZMB,2011,1.4023199E7
Zambia,ZMB,2012,1.4465148E7
Zambia,ZMB,2013,1.4926551E7
Zambia,ZMB,2014,1.5399793E7
Zambia,ZMB,2015,1.587937E7
Zambia,ZMB,2016,1.6363449E7
Zambia,ZMB,2017,1.6853608E7
Zambia,ZMB,2018,1.7351714E7
Zambia,ZMB,2019,1.7861034E7
Zambia,ZMB,2020,1.8383956E7
Zambia,ZMB,2021,1.8920657E7
Zambia,ZMB,2022,1.9470238E7
