Entity,cca3,Year,population
Zimbabwe,ZWE,1990,1.0432409E7
Zimbabwe,ZWE,1991,1.0681008E7
Zimbabwe,ZWE,1992,1.0900511E7
Zimbabwe,ZWE,1993,1.1092775E7
Zimbabwe,ZWE,1994,1.1261752E7
Zimbabwe,ZWE,1995,1.1410721E7
Zimbabwe,ZWE,1996,1.1541215E7
Zimbabwe,ZWE,1997,1.1653254E7
Zimbabwe,ZWE,1998,1.1747079E7
Zimbabwe,ZWE,1999,1.1822722E7
Zimbabwe,ZWE,2000,1.1881482E7
Zimbabwe,ZWE,2001,1.1923906E7
Zimbabwe,ZWE,2002,1.1954293E7
Zimbabwe,ZWE,2003,1.1982219E7
Zimbabwe,ZWE,2004,1.2019911E7
Zimbabwe,ZWE,2005,1.2076697E7
Zimbabwe,ZWE,2006,1.2155496E7
Zimbabwe,ZWE,2007,1.225592E7
Zimbabwe,ZWE,2008,1.2379553E7
Zimbabwe,ZWE,2009,1.2526964E7
Zimbabwe,ZWE,2010,1.2697728E7
Zimbabwe,ZWE,2011,1.2894323E7
Zimbabwe,ZWE,2012,1.3115149E7
Zimbabwe,ZWE,2013,1.3350378E7
Zimbabwe,ZWE,2014,1.358671E7
Zimbabwe,ZWE,2015,1.3814642E7
Zimbabwe,ZWE,2016,1.4030338E7
Zimbabwe,ZWE,2017,1.4236599E7
Zimbabwe,ZWE,2018,1.4438812E7
Zimbabwe,ZWE,2019,1.4645473E7
Zimbabwe,ZWE,2020,1.4862927E7
Zimbabwe,ZWE,2021,1.5092171E7
Zimbabwe,ZWE,2022,1.5331426E7
