Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),8394
Environmental heat and cold exposure,59080
Drug use disorders,69494
Conflict and terrorism,91701
Poisonings,92207
"Fire, heat, and hot substances",137651
Alcohol use disorders,145360
Exposure to forces of nature,157384
Acute hepatitis,166583
Parkinson's disease,175300
Maternal disorders,309898
Meningitis,445631
HIV/AIDS,471471
Drowning,484177
Interpersonal violence,521307
Protein-energy malnutrition,677472
Chronic kidney disease,705122
Alzheimer's disease and other dementias,709932
Nutritional deficiencies,780150
Self-harm,817256
Diabetes mellitus,820120
Malaria,845823
Cirrhosis and other chronic liver diseases,1146604
Road injuries,1269718
Tuberculosis,1825826
Digestive diseases,2109943
Diarrheal diseases,3010464
Neonatal disorders,3174693
Chronic respiratory diseases,3364563
Lower respiratory infections,3533860
Neoplasms,6823819
Cardiovascular diseases,13843889
