Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),4629
Environmental heat and cold exposure,67009
Exposure to forces of nature,70327
Poisonings,90098
Drug use disorders,98458
Conflict and terrorism,110806
"Fire, heat, and hot substances",136237
Acute hepatitis,150715
Alcohol use disorders,182859
Parkinson's disease,217575
Maternal disorders,298741
Meningitis,404580
Drowning,433792
Interpersonal violence,579751
Protein-energy malnutrition,590132
Nutritional deficiencies,664754
Malaria,880149
Chronic kidney disease,890922
Self-harm,901250
Alzheimer's disease and other dementias,901349
Diabetes mellitus,1037585
Cirrhosis and other chronic liver diseases,1277498
HIV/AIDS,1314012
Road injuries,1330848
Tuberculosis,1749678
Digestive diseases,2288036
Diarrheal diseases,2598106
Neonatal disorders,2951951
Lower respiratory infections,3240481
Chronic respiratory diseases,3681089
Neoplasms,7790558
Cardiovascular diseases,15172683
