Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),4393
Exposure to forces of nature,9927
Environmental heat and cold exposure,67537
Poisonings,92038
Drug use disorders,106523
Conflict and terrorism,122093
"Fire, heat, and hot substances",137610
Acute hepatitis,145225
Alcohol use disorders,193673
Parkinson's disease,233984
Maternal disorders,295695
Meningitis,395377
Drowning,412879
Protein-energy malnutrition,544863
Interpersonal violence,604183
Nutritional deficiencies,610812
Malaria,857994
Self-harm,911656
Alzheimer's disease and other dementias,956103
Chronic kidney disease,965680
Diabetes mellitus,1099900
Cirrhosis and other chronic liver diseases,1317344
Road injuries,1363782
HIV/AIDS,1569212
Tuberculosis,1735583
Digestive diseases,2343800
Diarrheal diseases,2484896
Neonatal disorders,2888986
Lower respiratory infections,3125664
Chronic respiratory diseases,3745870
Neoplasms,8125806
Cardiovascular diseases,15678548
