Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),3315
Exposure to forces of nature,36599
Conflict and terrorism,71913
Environmental heat and cold exposure,74141
Poisonings,93894
Drug use disorders,106117
Acute hepatitis,131104
"Fire, heat, and hot substances",136500
Alcohol use disorders,208114
Parkinson's disease,262404
Maternal disorders,278247
Drowning,372213
Meningitis,376957
Protein-energy malnutrition,402627
Nutritional deficiencies,457333
Interpersonal violence,601886
Self-harm,890467
Malaria,926142
Alzheimer's disease and other dementias,1065364
Chronic kidney disease,1080002
Diabetes mellitus,1212576
Cirrhosis and other chronic liver diseases,1401924
Road injuries,1402993
Tuberculosis,1629956
HIV/AIDS,1822279
Diarrheal diseases,2283579
Digestive diseases,2456005
Neonatal disorders,2808664
Lower respiratory infections,2977058
Chronic respiratory diseases,3808300
Neoplasms,8569150
Cardiovascular diseases,16450263
