Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),5730
Environmental heat and cold exposure,69076
Conflict and terrorism,72933
Poisonings,94701
Drug use disorders,107776
Acute hepatitis,128856
"Fire, heat, and hot substances",133883
Alcohol use disorders,210320
Exposure to forces of nature,249350
Parkinson's disease,268845
Maternal disorders,273779
Drowning,362469
Meningitis,370932
Protein-energy malnutrition,380814
Nutritional deficiencies,432237
Interpersonal violence,591798
Self-harm,895575
Malaria,924553
Alzheimer's disease and other dementias,1103841
Chronic kidney disease,1107018
Diabetes mellitus,1232481
Road injuries,1413501
Cirrhosis and other chronic liver diseases,1417837
Tuberculosis,1575194
HIV/AIDS,1857566
Diarrheal diseases,2205812
Digestive diseases,2472630
Neonatal disorders,2779984
Lower respiratory infections,2926828
Chronic respiratory diseases,3781843
Neoplasms,8693665
Cardiovascular diseases,16464762
