Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),9360
Exposure to forces of nature,20723
Environmental heat and cold exposure,66748
Conflict and terrorism,76248
Poisonings,93186
Drug use disorders,115367
Acute hepatitis,125566
"Fire, heat, and hot substances",131380
Alcohol use disorders,208733
Maternal disorders,267586
Parkinson's disease,286543
Drowning,343272
Protein-energy malnutrition,348721
Meningitis,365663
Nutritional deficiencies,397718
Interpersonal violence,579621
Self-harm,893339
Malaria,902826
Chronic kidney disease,1182436
Alzheimer's disease and other dementias,1190589
Diabetes mellitus,1290535
Road injuries,1424270
Cirrhosis and other chronic liver diseases,1457031
Tuberculosis,1514429
HIV/AIDS,1788349
Diarrheal diseases,2146073
Digestive diseases,2530079
Neonatal disorders,2710392
Lower respiratory infections,2877048
Chronic respiratory diseases,3789838
Neoplasms,8947450
Cardiovascular diseases,16704913
