Causes name,Death Numbers
Number of executions (Amnesty International),521
Terrorism (deaths),7816
Conflict and terrorism,55596
Environmental heat and cold exposure,60906
Poisonings,90943
Acute hepatitis,110307
Drug use disorders,123172
"Fire, heat, and hot substances",124806
Alcohol use disorders,196811
Maternal disorders,247809
Protein-energy malnutrition,308966
Drowning,313031
Parkinson's disease,325792
Meningitis,332745
Nutritional deficiencies,354560
Exposure to forces of nature,466598
Interpersonal violence,580615
Self-harm,869480
Malaria,872521
Chronic kidney disease,1346229
Tuberculosis,1379326
HIV/AIDS,1388242
Alzheimer's disease and other dementias,1392241
Diabetes mellitus,1398015
Road injuries,1435955
Cirrhosis and other chronic liver diseases,1511968
Diarrheal diseases,1964361
Neonatal disorders,2535875
Digestive diseases,2619430
Lower respiratory infections,2796246
Chronic respiratory diseases,3867351
Neoplasms,9647253
Cardiovascular diseases,17592295
