Causes name,Death Numbers
Number of executions (Amnesty International),767
Terrorism (deaths),22269
Exposure to forces of nature,27993
Environmental heat and cold exposure,51432
Poisonings,86944
Acute hepatitis,99591
Conflict and terrorism,117942
"Fire, heat, and hot substances",121739
Drug use disorders,137968
Alcohol use disorders,192865
Maternal disorders,231846
Protein-energy malnutrition,278108
Drowning,287560
Meningitis,294172
Nutritional deficiencies,322576
Parkinson's disease,357958
Interpersonal violence,588267
Malaria,723586
Self-harm,844465
HIV/AIDS,1152427
Tuberculosis,1320407
Road injuries,1388407
Chronic kidney disease,1481649
Diabetes mellitus,1523278
Cirrhosis and other chronic liver diseases,1543801
Alzheimer's disease and other dementias,1552537
Diarrheal diseases,1821699
Neonatal disorders,2393654
Digestive diseases,2692830
Lower respiratory infections,2807010
Chronic respiratory diseases,3993972
Neoplasms,10151113
Cardiovascular diseases,18320467
