Causes name,Death Numbers
Number of executions (Amnesty International),
Exposure to forces of nature,15507
Terrorism (deaths),26442
Environmental heat and cold exposure,48305
Poisonings,81877
Acute hepatitis,83157
"Fire, heat, and hot substances",118542
Conflict and terrorism,130799
Drug use disorders,183947
Alcohol use disorders,198682
Maternal disorders,206956
Meningitis,255331
Protein-energy malnutrition,255725
Drowning,261911
Nutritional deficiencies,298579
Parkinson's disease,400031
Interpersonal violence,592988
Malaria,600790
Self-harm,838026
HIV/AIDS,983182
Tuberculosis,1244423
Road injuries,1344626
Cirrhosis and other chronic liver diseases,1628610
Chronic kidney disease,1651601
Diarrheal diseases,1665153
Diabetes mellitus,1733020
Alzheimer's disease and other dementias,1798477
Neonatal disorders,2090958
Lower respiratory infections,2783159
Digestive diseases,2854617
Chronic respiratory diseases,4214129
Neoplasms,11046221
Cardiovascular diseases,19673428
