Causes name,Death Numbers
Terrorism (deaths),
Number of executions (Amnesty International),
Exposure to forces of nature,11849
Environmental heat and cold exposure,48397
Poisonings,81160
Acute hepatitis,81597
Conflict and terrorism,103609
"Fire, heat, and hot substances",120147
Drug use disorders,191235
Alcohol use disorders,202299
Maternal disorders,205573
Meningitis,246724
Protein-energy malnutrition,247724
Drowning,260156
Nutritional deficiencies,290077
Parkinson's disease,414259
Interpersonal violence,592415
Malaria,604953
Self-harm,848789
HIV/AIDS,929423
Tuberculosis,1217623
Road injuries,1351903
Diarrheal diseases,1611560
Cirrhosis and other chronic liver diseases,1654772
Chronic kidney disease,1695884
Diabetes mellitus,1789431
Alzheimer's disease and other dementias,1865967
Neonatal disorders,2014290
Lower respiratory infections,2785620
Digestive diseases,2900615
Chronic respiratory diseases,4318116
Neoplasms,11353860
Cardiovascular diseases,20158170
